name;lat;long;country;population
Cabinda;-5.5667;12.2000;Angola;550000
Cacolo;-10.1365;19.2865;Angola;984
Cacongo;-5.2333;12.1333;Angola;21000
Cacuaco;-8.7833;13.3667;Angola;1279488
Cahama;-16.2833;14.3167;Angola;70061
Caimbambo;-12.9000;14.0833;Angola;90838
Calenga;-11.3196;16.2000;Angola;531
Calulo;-9.9996;14.9000;Angola;795
Caluquembe;-13.9208;14.5347;Angola;25933
Camabatela;-8.1833;15.3667;Angola;61769
Camacupa;-12.0167;17.4833;Angola;19150
Cambambe;-9.7431;14.4914;Angola;90766
Capenda Camulemba;-9.4233;18.4328;Angola;80000
Cassongue;-11.8333;15.0000;Angola;117000
Catabola;-12.1167;17.3000;Angola;126631
Catape;-13.7667;15.0833;Angola;167820
Catchiungo;-12.5667;16.2333;Angola;120677
Catumbela;-12.4167;13.5333;Angola;175805
Caxito;-8.5785;13.6642;Angola;77276
Cazombo;-11.9058;22.9217;Angola;298
Chibemba;-15.7355;13.8905;Angola;1502
Chibia;-15.1833;13.7000;Angola;190670
Chicomba;-14.1333;14.9167;Angola;131807
Chinguar;-12.5500;16.3333;Angola;129370
Chipindo;-13.8244;15.8000;Angola;64714
Chitembo;-13.5167;16.7667;Angola;78156
Chongoroi;-13.5667;13.9500;Angola;87278
Conda;-11.1667;14.5000;Angola;89479
Cuango;-9.1444;18.0464;Angola;183767
Cubal;-13.1117;14.3672;Angola;357618
Cuchi;-14.6372;16.9611;Angola;42974
Cuemba;-12.1500;18.0833;Angola;56963
Cuito;-12.3833;16.9333;Angola;114000
Cuito Cuanavale;-15.1639;19.1731;Angola;40829
Dondo;-9.6942;14.4228;Angola;2353
Dundo;-7.3800;20.8300;Angola;11985
Gabela;-10.8500;14.3667;Angola;271843
Ganda;-13.0167;14.6333;Angola;235486
Huambo;-12.7667;15.7333;Angola;665564
Humpata;-15.0725;13.3678;Angola;89144
Kuvango;-14.4667;16.3000;Angola;78543
Lobito;-12.3597;13.5308;Angola;393079
Londuimbali;-12.2419;15.3133;Angola;134254
Longonjo;-12.9067;15.1864;Angola;24350
Luanda;-8.8383;13.2344;Angola;8883000
Luau;-10.7000;22.2333;Angola;90000
Lubalo;-9.1500;19.2833;Angola;20631
Lubango;-14.9167;13.5000;Angola;776249
